t,x,y,yaw,cmd_speed,cmd_steer,min_scan,active_sign,state,lap,progress_m,lat_err,cap_curve,cap_sign,cap_lidar
1785589554.968,4.4284,4.0000,0.0000,0.0000,0.0000,0.1600,-1,?,0,1.50,0.6963,2.184,nan,2.347
1785589555.017,4.4284,4.0000,0.0000,0.0000,0.0000,0.1600,-1,?,0,1.50,0.6963,2.184,nan,2.347
1785589555.067,4.4284,4.0000,0.0000,0.0000,0.0000,0.1844,-1,?,0,1.50,0.6963,2.184,nan,2.370
1785589555.117,4.4284,4.0000,0.0000,0.1250,-0.3400,0.1844,-1,RACING,0,1.50,0.6963,2.184,1.800,2.370
1785589555.167,4.4284,4.0000,0.0000,0.2500,-0.3400,0.0481,-1,RACING,0,1.50,0.6963,2.184,1.800,2.396
1785589555.217,4.4284,4.0000,0.0000,0.3750,-0.3400,0.0481,-1,RACING,0,1.50,0.6963,2.184,1.800,2.396
1785589555.267,4.4284,4.0000,0.0000,0.5000,-0.3400,0.1061,-1,RACING,0,1.50,0.6963,2.184,1.800,2.224
1785589555.318,4.4284,4.0000,0.0000,0.6250,-0.3400,0.1061,-1,RACING,0,1.50,0.6963,2.184,1.800,2.224
1785589555.367,4.4366,3.9999,-0.0022,0.7500,-0.3400,0.1004,-1,RACING,0,1.50,0.6973,2.184,1.800,2.415
1785589555.417,4.4582,3.9996,-0.0191,0.8750,-0.3400,0.1004,-1,RACING,0,1.50,0.7001,2.184,1.800,2.415
1785589555.467,4.4920,3.9987,-0.0464,1.0000,-0.2717,0.2550,-1,RACING,0,1.50,0.7054,2.184,1.800,99.000
1785589555.517,4.5380,3.9953,-0.0847,1.1250,-0.2719,0.2550,-1,RACING,0,1.50,0.7130,2.184,1.800,99.000
1785589555.567,4.5942,3.9896,-0.1305,1.2500,-0.2727,0.0303,-1,RACING,0,1.50,0.7247,2.184,1.800,99.000
1785589555.617,4.6563,3.9797,-0.1817,1.3750,-0.2735,0.0303,-1,RACING,0,1.75,0.7258,2.255,1.800,99.000
1785589555.667,4.7233,3.9652,-0.2377,1.5000,-0.2745,0.1437,-1,RACING,0,1.75,0.7207,2.255,1.800,99.000
1785589555.717,4.7972,3.9451,-0.2991,1.6250,-0.1843,0.1437,-1,RACING,0,1.75,0.7185,2.255,1.800,99.000
1785589555.767,4.8754,3.9191,-0.3450,1.7500,-0.1846,0.0273,-1,RACING,0,2.00,0.7064,2.306,1.800,99.000
1785589555.817,4.9574,3.8877,-0.3943,1.8000,-0.1077,0.0273,-1,RACING,0,2.00,0.6846,2.306,1.800,99.000
