t,x,y,yaw,cmd_speed,cmd_steer,min_scan,active_sign,state,lap,progress_m,lat_err,cap_curve,cap_sign,cap_lidar
1785589332.623,4.0550,4.0000,0.0000,0.5000,-0.3029,nan,-1,RACING,0,0.00,0.5842,nan,nan,nan
1785589332.669,4.0550,4.0000,0.0000,0.6250,-0.3029,0.0986,-1,RACING,0,1.00,0.5842,1.989,nan,2.438
1785589332.719,4.0649,4.0000,-0.0025,0.7500,-0.3054,0.0986,-1,RACING,0,1.00,0.5875,1.989,1.800,2.438
1785589332.769,4.0886,3.9998,-0.0210,0.8750,-0.3069,0.1494,-1,RACING,0,1.00,0.5957,1.989,1.800,99.000
1785589332.819,4.1248,3.9983,-0.0497,1.0000,-0.3092,0.1494,-1,RACING,0,1.00,0.6088,1.989,1.800,99.000
1785589332.869,4.1717,3.9954,-0.0893,1.1250,-0.3115,0.0853,-1,RACING,0,1.00,0.6275,1.989,1.800,99.000
1785589332.919,4.2282,3.9889,-0.1351,1.2500,-0.2303,0.0853,-1,RACING,0,1.25,0.6304,2.113,1.800,99.000
1785589332.969,4.2906,3.9790,-0.1798,1.3750,-0.2304,0.2041,-1,RACING,0,1.25,0.6360,2.113,1.800,99.000
1785589333.019,4.3616,3.9652,-0.2287,1.5000,-0.2317,0.2041,-1,RACING,0,1.25,0.6476,2.113,1.800,99.000
1785589333.070,4.4337,3.9465,-0.2819,1.6250,-0.2319,0.1524,-1,RACING,0,1.50,0.6440,2.184,1.800,99.000
1785589333.119,4.5124,3.9209,-0.3417,1.7500,-0.1453,0.1524,-1,RACING,0,1.50,0.6345,2.184,1.800,99.000
1785589333.169,4.5922,3.8907,-0.3796,1.8000,-0.1452,0.0235,-1,RACING,0,1.50,0.6319,2.184,1.800,99.000
1785589333.219,4.6758,3.8559,-0.4193,1.8000,-0.0763,0.0235,-1,RACING,0,1.75,0.6050,2.255,1.800,99.000
1785589333.269,4.7561,3.8185,-0.4401,1.8000,-0.0759,0.0215,-1,RACING,0,1.75,0.5854,2.255,1.800,99.000
1785589333.319,4.8408,3.7785,-0.4613,1.8000,-0.0765,0.0215,-1,RACING,0,2.00,0.5648,2.306,1.800,99.000
1785589333.369,4.9212,3.7382,-0.4819,1.8000,-0.0167,0.0534,-1,RACING,0,2.00,0.5311,2.306,1.800,99.000
1785589333.419,5.0015,3.6963,-0.4864,1.8000,-0.0168,0.0534,-1,RACING,0,2.00,0.5097,2.306,1.800,99.000
1785589333.471,5.0829,3.6541,-0.4910,1.8000,0.0243,0.2393,-1,RACING,0,2.25,0.4766,2.320,1.800,99.000
1785589333.519,5.1627,3.6119,-0.4844,1.8000,0.0242,0.2393,-1,RACING,0,2.25,0.4414,2.320,1.800,99.000
1785589333.569,5.2463,3.5700,-0.4777,1.8000,0.0501,0.0664,-1,RACING,0,2.25,0.4245,2.320,1.800,99.000
1785589333.619,5.3235,3.5294,-0.4641,1.8000,0.0503,0.0664,-1,RACING,0,2.50,0.3827,2.352,1.800,99.000
1785589333.670,5.4058,3.4895,-0.4504,1.8000,0.0502,0.0459,-1,RACING,0,2.50,0.3504,2.352,1.800,99.000
1785589333.719,5.4853,3.4511,-0.4367,1.8000,0.0670,0.0459,-1,RACING,0,2.50,0.3403,2.352,1.800,99.000
1785589333.769,5.5659,3.4138,-0.4184,1.8000,0.0670,0.0202,-1,RACING,0,2.75,0.2931,2.387,1.800,99.000
1785589333.831,5.6494,3.3780,-0.4001,1.8000,0.0670,0.0202,-1,RACING,0,2.75,0.2657,2.387,1.800,99.000
1785589333.872,5.6494,3.3780,-0.4001,1.8000,0.0670,0.0202,-1,RACING,0,2.75,0.2657,2.387,1.800,99.000
1785589333.926,5.7513,3.3355,-0.3773,1.8000,0.0670,0.0202,-1,RACING,0,2.75,0.2489,2.387,1.800,99.000
1785589333.970,5.7513,3.3355,-0.3773,1.8000,0.0670,0.0202,-1,RACING,0,2.75,0.2489,2.387,1.800,99.000
1785589334.019,5.7513,3.3355,-0.3773,1.8000,0.0670,0.1138,-1,RACING,0,3.00,0.2489,2.396,1.800,99.000
1785589334.069,6.1012,3.2125,-0.3021,1.8000,0.0815,0.0961,-1,RACING,0,3.25,0.1326,2.401,1.800,99.000
1785589334.124,6.1577,3.1952,-0.2874,1.8000,0.0780,0.0961,-1,RACING,0,3.25,0.1376,2.401,1.800,99.000
1785589334.171,6.2418,3.1711,-0.2665,1.8000,0.0779,0.0303,-1,RACING,0,3.50,0.1364,2.408,1.800,99.000
1785589334.222,6.3305,3.1484,-0.2452,1.8000,0.0780,0.0303,-1,RACING,0,3.50,0.0817,2.408,1.800,99.000
1785589334.269,6.4152,3.1273,-0.2239,1.8000,0.0704,0.0883,-1,RACING,0,3.50,0.1049,2.408,1.800,99.000
