t,x,y,yaw,cmd_speed,cmd_steer,min_scan,active_sign,state,lap,progress_m,lat_err,cap_curve,cap_sign,cap_lidar
1785588881.349,4.4389,4.0000,0.0000,0.2500,-0.3400,nan,-1,RACING,0,1.50,0.6977,nan,nan,nan
1785588881.395,4.4389,4.0000,0.0000,0.3750,-0.3400,nan,-1,RACING,0,1.50,0.6977,2.184,nan,nan
1785588881.445,4.4389,4.0000,0.0000,0.5000,-0.3400,0.1055,-1,RACING,0,1.50,0.6977,2.184,nan,2.206
1785588881.495,4.4389,4.0000,0.0000,0.6250,-0.3400,0.1055,-1,RACING,0,1.50,0.6977,2.184,1.800,2.206
1785588881.545,4.4456,4.0001,-0.0017,0.7500,-0.3400,0.0720,-1,RACING,0,1.50,0.6987,2.184,1.800,2.345
1785588881.595,4.4638,3.9997,-0.0135,0.8750,-0.3400,0.0720,-1,RACING,0,1.50,0.7011,2.184,1.800,2.345
1785588881.645,4.4961,3.9992,-0.0400,1.0000,-0.2752,0.0305,-1,RACING,0,1.50,0.7067,2.184,1.800,2.398
1785588881.695,4.5387,3.9969,-0.0759,1.1250,-0.2754,0.0305,-1,RACING,0,1.50,0.7147,2.184,1.800,2.398
1785588881.745,4.5964,3.9912,-0.1230,1.2500,-0.2764,0.1048,-1,RACING,0,1.50,0.7270,2.184,1.800,99.000
1785588881.795,4.6543,3.9824,-0.1728,1.3750,-0.2766,0.1048,-1,RACING,0,1.75,0.7284,2.255,1.800,99.000
1785588881.848,4.7228,3.9685,-0.2292,1.5000,-0.2783,0.0200,-1,RACING,0,1.75,0.7237,2.255,1.800,99.000
1785588881.896,4.7968,3.9491,-0.2906,1.6250,-0.1885,0.0200,-1,RACING,0,1.75,0.7222,2.255,1.800,99.000
1785588881.945,4.8749,3.9233,-0.3460,1.7500,-0.1848,0.0272,-1,RACING,0,2.00,0.7106,2.306,1.800,99.000
1785588881.995,4.9594,3.8915,-0.3956,1.8000,-0.1085,0.0272,-1,RACING,0,2.00,0.6886,2.306,1.800,99.000
1785588882.045,5.0413,3.8557,-0.4252,1.8000,-0.1084,0.2197,-1,RACING,0,2.00,0.6736,2.306,1.800,99.000
1785588882.095,5.1249,3.8172,-0.4550,1.8000,-0.1090,0.2197,-1,RACING,0,2.25,0.6410,2.320,1.800,99.000
1785588882.145,5.2074,3.7763,-0.4849,1.8000,-0.0392,0.0472,-1,RACING,0,2.25,0.6113,2.320,1.800,99.000
1785588882.195,5.2870,3.7336,-0.4957,1.8000,-0.0391,0.0472,-1,RACING,0,2.50,0.5886,2.352,1.800,99.000
1785588882.245,5.3673,3.6910,-0.5062,1.8000,0.0110,0.0810,-1,RACING,0,2.50,0.5453,2.352,1.800,99.000
1785588882.295,5.4465,3.6477,-0.5033,1.8000,0.0108,0.0810,-1,RACING,0,2.50,0.5136,2.352,1.800,99.000
1785588882.345,5.5238,3.6042,-0.5003,1.8000,0.0443,0.0309,-1,RACING,0,2.75,0.4865,2.387,1.800,99.000
1785588882.395,5.6037,3.5617,-0.4883,1.8000,0.0442,0.0309,-1,RACING,0,2.75,0.4411,2.387,1.800,99.000
1785588882.445,5.6865,3.5187,-0.4758,1.8000,0.0441,0.1641,-1,RACING,0,2.75,0.4112,2.387,1.800,99.000
1785588882.495,5.7602,3.4794,-0.4642,1.8000,0.0665,0.1641,-1,RACING,0,3.00,0.3863,2.396,1.800,99.000
1785588882.545,5.8422,3.4394,-0.4458,1.8000,0.0665,0.1183,-1,RACING,0,3.00,0.3400,2.396,1.800,99.000
1785588882.595,5.9221,3.4011,-0.4275,1.8000,0.0666,0.1183,-1,RACING,0,3.00,0.3151,2.396,1.800,99.000
1785588882.645,6.0039,3.3651,-0.4097,1.8000,0.0783,0.1388,-1,RACING,0,3.25,0.2936,2.401,1.800,99.000
1785588882.695,6.0858,3.3302,-0.3883,1.8000,0.0783,0.1388,-1,RACING,0,3.25,0.2487,2.401,1.800,99.000
1785588882.745,6.1715,3.2966,-0.3665,1.8000,0.0813,0.2065,-1,RACING,0,3.25,0.2337,2.401,1.800,99.000
1785588882.795,6.2564,3.2655,-0.3443,1.8000,0.0813,0.2065,-1,RACING,0,3.50,0.2118,2.408,1.800,99.000
1785588882.845,6.3385,3.2365,-0.3225,1.8000,0.0813,0.0307,-1,RACING,0,3.50,0.1700,2.408,1.800,99.000
1785588882.895,6.4230,3.2089,-0.3001,1.8000,0.0788,0.0307,-1,RACING,0,3.50,0.1701,2.408,1.800,99.000
1785588882.945,6.5090,3.1822,-0.2777,1.8000,0.0787,0.0801,-1,RACING,0,3.75,0.1457,2.421,1.800,99.000
1785588882.995,6.5958,3.1588,-0.2565,1.8000,0.0787,0.0801,-1,RACING,0,3.75,0.1055,2.421,1.800,99.000
1785588883.047,6.6858,3.1370,-0.2351,1.8000,0.0725,0.0269,-1,RACING,0,3.75,0.1347,2.421,1.800,99.000
1785588883.095,6.7735,3.1171,-0.2156,1.8000,0.0725,0.0269,-1,RACING,0,4.00,0.0912,2.435,1.800,99.000
1785588883.145,6.8659,3.0985,-0.1956,1.8000,0.0727,0.1226,-1,RACING,0,4.00,0.0650,2.435,1.800,99.000
1785588883.195,6.9524,3.0820,-0.1759,1.8000,0.0639,0.1226,-1,RACING,0,4.00,0.1287,2.435,1.800,99.000
1785588883.245,7.0399,3.0673,-0.1586,1.8000,0.0638,0.0446,-1,RACING,0,4.25,0.0491,2.445,1.800,99.000
1785588883.295,7.1264,3.0538,-0.1411,1.8000,0.0637,0.0446,-1,RACING,0,4.25,0.0502,2.445,1.800,99.000
1785588883.345,7.2186,3.0419,-0.1238,1.8000,0.0540,0.1076,-1,RACING,0,4.50,0.1108,2.452,1.800,99.000
1785588883.395,7.3085,3.0314,-0.1091,1.8000,0.0540,0.1076,-1,RACING,0,4.50,0.0204,2.452,1.800,99.000
1785588883.446,7.3974,3.0221,-0.0942,1.8000,0.0450,0.0365,-1,RACING,0,4.50,0.0692,2.452,1.800,99.000
1785588883.560,7.4939,3.0137,-0.0813,1.8000,0.0452,0.0365,-1,RACING,0,4.75,0.0862,2.454,1.800,99.000
1785588883.648,7.4939,3.0137,-0.0813,1.8000,0.0452,0.0365,-1,RACING,0,4.75,0.0862,2.454,1.800,99.000
1785588883.655,7.4939,3.0137,-0.0813,1.8000,0.0452,0.0365,-1,RACING,0,4.75,0.0862,2.454,1.800,99.000
1785588883.656,7.4939,3.0137,-0.0813,1.8000,0.0452,0.0365,-1,RACING,0,4.75,0.0862,2.454,1.800,99.000
1785588883.696,7.4939,3.0137,-0.0813,1.8000,0.0452,0.0365,-1,RACING,0,4.75,0.0862,2.454,1.800,99.000
1785588883.745,7.6443,3.0029,-0.0606,1.8000,0.0452,0.0439,-1,RACING,0,4.75,0.0701,2.454,1.800,99.000
1785588883.796,8.0772,2.9894,-0.0012,1.8000,0.0231,0.0426,-1,RACING,0,5.25,0.0349,2.464,1.800,99.000
1785588883.851,8.0772,2.9894,-0.0012,1.8000,0.0231,0.0426,-1,RACING,0,5.25,0.0349,2.464,1.800,99.000
1785588883.919,8.0772,2.9894,-0.0012,1.8000,0.0231,0.0426,-1,RACING,0,5.25,0.0349,2.464,1.800,99.000
1785588883.947,8.0772,2.9894,-0.0012,1.8000,0.0197,0.0426,-1,RACING,0,5.50,0.0349,2.464,1.800,99.000
1785588883.996,8.4357,2.9935,0.0233,1.8000,0.0138,0.0606,-1,RACING,0,5.50,0.1112,2.465,1.800,99.000
1785588884.045,8.5270,2.9958,0.0271,1.8000,0.0067,0.1301,-1,RACING,0,5.75,0.0597,2.465,1.800,99.000
1785588884.095,8.6148,2.9982,0.0271,1.8000,0.0057,0.1301,-1,RACING,0,5.75,0.0450,2.465,1.800,99.000
1785588884.146,8.7044,3.0007,0.0271,1.8000,0.0065,0.0504,-1,RACING,0,6.00,0.1273,2.467,1.800,99.000
1785588884.195,8.7931,3.0031,0.0271,1.8000,0.0050,0.0504,-1,RACING,0,6.00,0.0432,2.467,1.800,99.000
1785588884.245,8.8815,3.0055,0.0271,1.8000,0.0058,0.0875,-1,RACING,0,6.00,0.0569,2.467,1.800,99.000
1785588884.295,8.9716,3.0080,0.0271,1.8000,0.0047,0.0875,-1,RACING,0,6.25,0.1096,2.463,1.800,99.000
1785588884.345,9.0589,3.0104,0.0271,1.8000,0.0053,0.0815,-1,RACING,0,6.25,0.0284,2.463,1.800,99.000
1785588884.396,9.1527,3.0130,0.0271,1.8000,0.0060,0.0815,-1,RACING,0,6.25,0.0759,2.463,1.800,99.000
1785588884.445,9.2358,3.0153,0.0271,1.8000,0.0051,0.0425,-1,RACING,0,6.50,0.0950,2.457,1.800,99.000
1785588884.497,9.3259,3.0177,0.0271,1.8000,0.0057,0.0425,-1,RACING,0,6.50,0.0172,2.457,1.800,99.000
1785588884.545,9.4146,3.0202,0.0271,1.8000,0.0065,0.0592,-1,RACING,0,6.50,0.0870,2.457,1.800,99.000
1785588884.595,9.5037,3.0226,0.0271,1.8000,0.0055,0.0592,-1,RACING,0,6.75,0.0770,2.451,1.800,99.000
1785588884.646,9.5946,3.0250,0.0271,1.8000,0.0063,0.0216,-1,RACING,0,6.75,0.0216,2.451,1.800,99.000
1785588884.695,9.6833,3.0274,0.0271,1.8000,0.0072,0.0216,-1,RACING,0,6.75,0.1053,2.451,1.800,99.000
1785588884.745,9.7741,3.0299,0.0271,1.8000,0.0060,0.1363,-1,RACING,0,7.00,0.0568,2.447,1.800,99.000
1785588884.795,9.8664,3.0324,0.0271,1.8000,0.0069,0.1363,-1,RACING,0,7.00,0.0399,2.447,1.800,99.000
