t,x,y,yaw,cmd_speed,cmd_steer,min_scan,active_sign,state,lap,progress_m,lat_err,cap_curve,cap_sign,cap_lidar
1785589109.027,4.4719,4.0000,0.0000,0.2500,-0.3400,0.0219,-1,RACING,0,1.50,0.7028,2.184,1.800,nan
1785589109.076,4.4719,4.0000,0.0000,0.3750,-0.3400,0.0219,-1,RACING,0,1.50,0.7028,2.184,1.800,nan
1785589109.127,4.4719,4.0000,0.0000,0.5000,-0.3400,0.0268,-1,RACING,0,1.50,0.7028,2.184,1.800,2.247
1785589109.177,4.4719,4.0000,0.0000,0.6250,-0.3400,0.0394,-1,RACING,0,1.50,0.7028,2.184,1.800,2.247
1785589109.227,4.4751,4.0000,-0.0004,0.7500,-0.3400,0.0394,-1,RACING,0,1.50,0.7033,2.184,1.800,2.121
1785589109.276,4.4920,4.0000,-0.0114,0.8750,-0.3400,0.0816,-1,RACING,0,1.50,0.7066,2.184,1.800,2.121
1785589109.327,4.4920,4.0000,-0.0114,1.0000,-0.2839,0.0816,-1,RACING,0,1.50,0.7066,2.184,1.800,2.201
1785589109.376,4.5616,3.9969,-0.0685,1.1250,-0.2845,0.0592,-1,RACING,0,1.50,0.7213,2.184,1.800,2.201
1785589109.426,4.6155,3.9920,-0.1133,1.2500,-0.2855,0.0592,-1,RACING,0,1.50,0.7345,2.184,1.800,2.135
1785589109.477,4.6812,3.9824,-0.1683,1.3750,-0.2868,0.0592,-1,RACING,0,1.75,0.7311,2.255,1.800,2.135
1785589109.527,4.7525,3.9681,-0.2281,1.5000,-0.2916,0.1110,-1,RACING,0,1.75,0.7294,2.255,1.800,2.007
1785589109.577,4.8271,3.9481,-0.2819,1.6250,-0.2125,0.1110,-1,RACING,0,1.75,0.7304,2.255,1.800,2.007
1785589109.627,4.9038,3.9223,-0.3343,1.7500,-0.2020,0.0853,-1,RACING,0,2.00,0.7117,2.306,1.800,99.000
1785589109.677,4.9898,3.8901,-0.3909,1.8000,-0.2005,0.0853,-1,RACING,0,2.00,0.6933,2.306,1.800,99.000
1785589109.727,5.0705,3.8549,-0.4229,1.8000,-0.1184,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589109.787,5.0705,3.8549,-0.4229,1.8000,-0.1182,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589109.833,5.0705,3.8549,-0.4229,1.8000,-0.1182,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589109.881,5.0705,3.8549,-0.4229,1.8000,-0.1182,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589109.965,5.0705,3.8549,-0.4229,1.8000,-0.1182,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589109.985,5.0705,3.8549,-0.4229,1.8000,-0.1182,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589110.121,5.0705,3.8549,-0.4229,1.8000,-0.1182,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589110.218,5.0705,3.8549,-0.4229,1.8000,-0.1182,0.1100,-1,RACING,0,2.25,0.6776,2.320,1.800,99.000
1785589110.269,5.8351,3.3420,-0.7563,1.8000,0.2387,0.1018,-1,RACING,0,3.00,0.2425,2.396,1.800,1.792
1785589110.319,5.8997,3.2791,-0.7654,1.7919,0.2936,0.1018,-1,RACING,0,3.00,0.1923,2.396,1.800,1.792
1785589110.368,5.9671,3.2188,-0.7281,1.7919,0.2742,0.2851,-1,RACING,0,3.25,0.1777,2.401,1.800,1.639
1785589110.419,6.0381,3.1607,-0.6507,1.6419,0.2789,0.2851,-1,RACING,0,3.25,0.0896,2.401,1.800,1.639
1785589110.468,6.1064,3.1136,-0.5804,1.6393,0.2776,0.0430,-1,RACING,0,3.25,0.0415,2.401,1.800,1.826
1785589110.518,6.1781,3.0714,-0.5096,1.7643,0.2318,0.0430,-1,RACING,0,3.25,0.0986,2.401,1.800,1.826
1785589110.568,6.2563,3.0309,-0.4465,1.8000,0.2299,0.0484,-1,RACING,0,3.50,0.0816,2.408,1.800,2.055
1785589110.619,6.3383,2.9946,-0.3823,1.8000,0.2134,0.0484,-1,RACING,0,3.50,0.0726,2.408,1.800,2.055
1785589110.668,6.4219,2.9637,-0.3232,1.8000,0.1731,0.1494,-1,RACING,0,3.50,0.1383,2.408,1.800,99.000
1785589110.719,6.5049,2.9373,-0.2758,1.8000,0.1654,0.1494,-1,RACING,0,3.75,0.1389,2.421,1.800,99.000
1785589110.769,6.5949,2.9147,-0.2302,1.8000,0.1659,0.0203,-1,RACING,0,3.75,0.1408,2.421,1.800,99.000
1785589110.819,6.6819,2.8963,-0.1842,1.8000,0.1273,0.0203,-1,RACING,0,3.75,0.1887,2.421,1.800,99.000
1785589110.869,6.7742,2.8812,-0.1491,1.8000,0.1278,0.1382,-1,RACING,0,4.00,0.1727,2.435,1.800,99.000
1785589110.919,6.8664,2.8694,-0.1136,1.8000,0.1278,0.1382,-1,RACING,0,4.00,0.1795,2.435,1.800,99.000
1785589110.970,6.9546,2.8608,-0.0794,1.8000,0.0934,0.0465,-1,RACING,0,4.25,0.2160,2.445,1.800,99.000
1785589111.018,7.0450,2.8547,-0.0540,1.8000,0.0936,0.0465,-1,RACING,0,4.25,0.1859,2.445,1.800,99.000
1785589111.069,7.1376,2.8510,-0.0278,1.8000,0.0937,0.4922,-1,RACING,0,4.25,0.1954,2.445,1.800,99.000
1785589111.118,7.2284,2.8496,-0.0027,1.8000,0.0637,0.4922,-1,RACING,0,4.50,0.2081,2.452,1.800,99.000
1785589111.168,7.3165,2.8501,0.0148,1.8000,0.0635,0.0659,-1,RACING,0,4.50,0.1822,2.452,1.800,99.000
1785589111.219,7.4083,2.8522,0.0322,1.8000,0.0416,0.0659,-1,RACING,0,4.50,0.1964,2.452,1.800,99.000
1785589111.269,7.5008,2.8556,0.0436,1.8000,0.0419,0.0417,-1,RACING,0,4.75,0.1892,2.454,1.800,99.000
1785589111.319,7.5867,2.8600,0.0549,1.8000,0.0415,0.0417,-1,RACING,0,4.75,0.1681,2.454,1.800,99.000
1785589111.368,7.6738,2.8654,0.0662,1.8000,0.0237,0.0266,-1,RACING,0,4.75,0.1881,2.454,1.800,99.000
1785589111.467,7.7629,2.8717,0.0727,1.8000,0.0237,0.0266,-1,RACING,0,5.00,0.1673,2.456,1.800,99.000
1785589111.469,7.7629,2.8717,0.0727,1.8000,0.0237,0.0266,-1,RACING,0,5.00,0.1673,2.456,1.800,99.000
1785589111.519,7.9401,2.8857,0.0854,1.8000,0.0236,0.0542,-1,RACING,0,5.00,0.1785,2.456,1.800,99.000
1785589111.569,8.0361,2.8939,0.0921,1.8000,0.0083,0.0508,-1,RACING,0,5.25,0.1371,2.464,1.800,99.000
1785589111.618,8.1281,2.9022,0.0921,1.8000,0.0097,0.0508,-1,RACING,0,5.25,0.1316,2.464,1.800,99.000
1785589111.668,8.2178,2.9104,0.0921,1.8000,0.0013,0.0876,-1,RACING,0,5.50,0.1590,2.465,1.800,99.000
1785589111.718,8.3082,2.9187,0.0921,1.8000,0.0015,0.0876,-1,RACING,0,5.50,0.1075,2.465,1.800,99.000
1785589111.768,8.4000,2.9271,0.0921,1.8000,-0.0043,0.0910,-1,RACING,0,5.50,0.1204,2.465,1.800,99.000
1785589111.818,8.4880,2.9352,0.0921,1.8000,-0.0049,0.0910,-1,RACING,0,5.75,0.1279,2.465,1.800,99.000
1785589111.869,8.5798,2.9436,0.0921,1.8000,-0.0055,0.0900,-1,RACING,0,5.75,0.0817,2.465,1.800,99.000
1785589111.920,8.6691,2.9518,0.0921,1.8000,-0.0098,0.0900,-1,RACING,0,5.75,0.1163,2.465,1.800,99.000
1785589111.968,8.7536,2.9601,0.0921,1.8000,-0.0112,0.0836,-1,RACING,0,6.00,0.1010,2.467,1.800,99.000
1785589112.018,8.8453,2.9682,0.0890,1.8000,-0.0112,0.0836,-1,RACING,0,6.00,0.0614,2.467,1.800,99.000
1785589112.068,8.9372,2.9763,0.0859,1.8000,-0.0124,0.1583,-1,RACING,0,6.00,0.1198,2.467,1.800,99.000
1785589112.118,9.0275,2.9837,0.0826,1.8000,-0.0123,0.1583,-1,RACING,0,6.25,0.0695,2.463,1.800,99.000
1785589112.168,9.1172,2.9910,0.0792,1.8000,-0.0123,0.1055,-1,RACING,0,6.25,0.0551,2.463,1.800,99.000
1785589112.219,9.2059,2.9979,0.0759,1.8000,-0.0122,0.1055,-1,RACING,0,6.50,0.1283,2.457,1.800,99.000
1785589112.269,9.2963,3.0046,0.0725,1.8000,-0.0122,0.0366,-1,RACING,0,6.50,0.0443,2.457,1.800,99.000
1785589112.319,9.3884,3.0111,0.0692,1.8000,-0.0113,0.0366,-1,RACING,0,6.50,0.0641,2.457,1.800,99.000
1785589112.369,9.4800,3.0171,0.0661,1.8000,-0.0113,0.1733,-1,RACING,0,6.75,0.1013,2.451,1.800,99.000
1785589112.418,9.5674,3.0229,0.0630,1.8000,-0.0113,0.1733,-1,RACING,0,6.75,0.0203,2.451,1.800,99.000
1785589112.469,9.6576,3.0284,0.0600,1.8000,-0.0100,0.0910,-1,RACING,0,6.75,0.0796,2.451,1.800,99.000
1785589112.519,9.7498,3.0338,0.0600,1.8000,-0.0114,0.0910,-1,RACING,0,7.00,0.0797,2.447,1.800,99.000
1785589112.569,9.8414,3.0390,0.0569,1.8000,-0.0114,0.0865,-1,RACING,0,7.00,0.0143,2.447,1.800,99.000
1785589112.618,9.9351,3.0440,0.0538,1.8000,-0.0096,0.0865,-1,RACING,0,7.00,0.1064,2.447,1.800,99.000
1785589112.669,10.0223,3.0489,0.0538,1.8000,-0.0110,0.0419,-1,RACING,0,7.25,0.0564,2.444,1.800,99.000
1785589112.718,10.1103,3.0536,0.0508,1.8000,-0.0110,0.0419,-1,RACING,0,7.25,0.0318,2.444,1.800,99.000
1785589112.768,10.2026,3.0581,0.0477,1.8000,-0.0089,0.0913,-1,RACING,0,7.25,0.1241,2.444,1.800,99.000
1785589112.819,10.2909,3.0623,0.0477,1.8000,-0.0102,0.0913,-1,RACING,0,7.50,0.0377,2.442,1.800,99.000
1785589112.869,10.3846,3.0665,0.0450,1.8000,-0.0084,0.0798,-1,RACING,0,7.50,0.0565,2.442,1.800,99.000
1785589112.919,10.4725,3.0705,0.0450,1.8000,-0.0096,0.0798,-1,RACING,0,7.75,0.1059,2.442,1.800,99.000
1785589112.969,10.5627,3.0746,0.0450,1.8000,-0.0110,0.0303,-1,RACING,0,7.75,0.0173,2.442,1.800,99.000
1785589113.019,10.6496,3.0785,0.0420,1.8000,-0.0090,0.0303,-1,RACING,0,7.75,0.0721,2.442,1.800,99.000
1785589113.069,10.7425,3.0823,0.0420,1.8000,-0.0103,0.0215,-1,RACING,0,8.00,0.0861,2.442,1.800,99.000
1785589113.118,10.8326,3.0860,0.0391,1.8000,-0.0103,0.0215,-1,RACING,0,8.00,0.0117,2.442,1.800,99.000
1785589113.169,10.9265,3.0894,0.0364,1.8000,-0.0084,0.0874,-1,RACING,0,8.00,0.0993,2.442,1.800,99.000
1785589113.218,11.0161,3.0926,0.0364,1.8000,-0.0096,0.0874,-1,RACING,0,8.25,0.0628,2.442,1.800,99.000
1785589113.268,11.1089,3.0960,0.0364,1.8000,-0.0111,0.1097,-1,RACING,0,8.25,0.0334,2.442,1.800,99.000
1785589113.318,11.1985,3.0991,0.0334,1.8000,-0.0092,0.1097,-1,RACING,0,8.25,0.1215,2.442,1.800,99.000
1785589113.368,11.2874,3.1021,0.0334,1.8000,-0.0105,0.1746,-1,RACING,0,8.50,0.0422,2.442,1.800,99.000
1785589113.418,11.3772,3.1049,0.0305,1.8000,-0.0105,0.1746,-1,RACING,0,8.50,0.0512,2.442,1.800,99.000
1785589113.469,11.4684,3.1076,0.0276,1.8000,-0.0088,0.0521,-1,RACING,0,8.75,0.1099,2.442,1.800,99.000
1785589113.519,11.5570,3.1101,0.0276,1.8000,-0.0101,0.0521,-1,RACING,0,8.75,0.0241,2.442,1.800,99.000
1785589113.568,11.6483,3.1125,0.0249,1.8000,-0.0089,0.1523,-1,RACING,0,8.75,0.0718,2.442,1.800,99.000
1785589113.618,11.7425,3.1147,0.0249,1.8000,-0.0101,0.1523,-1,RACING,0,9.00,0.0859,2.442,1.800,99.000
1785589113.669,11.8297,3.1167,0.0221,1.8000,-0.0101,0.0342,-1,RACING,0,9.00,0.0121,2.442,1.800,99.000
1785589113.719,11.9233,3.1187,0.0193,1.8000,-0.0090,0.0342,-1,RACING,0,9.00,0.0965,2.442,1.800,99.000
1785589113.769,12.0112,3.1204,0.0193,1.8000,-0.0103,0.0628,-1,RACING,0,9.25,0.0673,2.442,1.800,99.000
1785589113.819,12.1001,3.1220,0.0165,1.8000,-0.0103,0.0628,-1,RACING,0,9.25,0.0251,2.442,1.800,99.000
1785589113.868,12.1894,3.1234,0.0137,1.8000,-0.0093,0.0519,-1,RACING,0,9.25,0.1123,2.442,1.800,99.000
1785589113.918,12.2797,3.1246,0.0137,1.8000,-0.0106,0.0519,-1,RACING,0,9.50,0.0489,2.442,1.800,99.000
1785589113.968,12.3684,3.1257,0.0108,1.8000,-0.0106,0.0209,-1,RACING,0,9.50,0.0420,2.442,1.800,99.000
1785589114.018,12.4608,3.1265,0.0079,1.8000,-0.0098,0.0209,-1,RACING,0,9.75,0.1172,2.442,1.800,99.000
1785589114.068,12.5540,3.1272,0.0079,1.8000,-0.0112,0.0637,-1,RACING,0,9.75,0.0252,2.442,1.800,99.000
1785589114.119,12.6450,3.1278,0.0049,1.8000,-0.0105,0.0637,-1,RACING,0,9.75,0.0680,2.442,1.800,99.000
1785589114.169,12.7340,3.1281,0.0020,1.8000,-0.0104,0.0555,-1,RACING,0,10.00,0.0940,2.442,1.800,99.000
1785589114.219,12.8221,3.1282,-0.0008,1.8000,-0.0104,0.0555,-1,RACING,0,10.00,0.0096,2.442,1.800,99.000
1785589114.269,12.9136,3.1279,-0.0037,1.8000,-0.0097,0.2173,-1,RACING,0,10.00,0.0863,2.442,1.800,99.000
1785589114.318,13.0053,3.1276,-0.0037,1.8000,-0.0111,0.2173,-1,RACING,0,10.25,0.0727,2.442,1.800,99.000
1785589114.368,13.0957,3.1271,-0.0067,1.8000,-0.0111,0.0441,-1,RACING,0,10.25,0.0192,2.442,1.800,99.000
1785589114.418,13.1839,3.1264,-0.0097,1.8000,-0.0102,0.0441,-1,RACING,0,10.25,0.1063,2.442,1.800,99.000
1785589114.468,13.2727,3.1254,-0.0124,1.8000,-0.0102,0.0637,-1,RACING,0,10.50,0.0554,2.442,1.800,99.000
1785589114.519,13.3631,3.1241,-0.0152,1.8000,-0.0102,0.0637,-1,RACING,0,10.50,0.0359,2.442,1.800,99.000
1785589114.568,13.4522,3.1227,-0.0180,1.8000,-0.0092,0.0411,-1,RACING,0,10.50,0.1246,2.442,1.800,99.000
1785589114.618,13.5423,3.1210,-0.0180,1.8000,-0.0105,0.0411,-1,RACING,0,10.75,0.0358,2.442,1.800,99.000
1785589114.669,13.6369,3.1193,-0.0209,1.8000,-0.0094,0.2328,-1,RACING,0,10.75,0.0594,2.442,1.800,99.000
1785589114.719,13.7265,3.1174,-0.0209,1.8000,-0.0107,0.2328,-1,RACING,0,11.00,0.1014,2.442,1.800,99.000
1785589114.769,13.8169,3.1154,-0.0238,1.8000,-0.0107,0.0558,-1,RACING,0,11.00,0.0121,2.442,1.800,99.000
1785589114.818,13.9037,3.1132,-0.0268,1.8000,-0.0092,0.0558,-1,RACING,0,11.00,0.0762,2.442,1.800,99.000
1785589114.868,13.9929,3.1107,-0.0268,1.8000,-0.0105,0.0433,-1,RACING,0,11.25,0.0850,2.448,1.800,99.000
1785589114.918,14.0827,3.1082,-0.0296,1.8000,-0.0105,0.0433,-1,RACING,0,11.25,0.0079,2.448,1.800,99.000
1785589114.968,14.1722,3.1054,-0.0325,1.8000,-0.0087,0.0270,-1,RACING,0,11.25,0.0948,2.448,1.800,99.000
1785589115.019,14.2645,3.1025,-0.0325,1.8000,-0.0100,0.0270,-1,RACING,0,11.50,0.0635,2.462,1.800,99.000
1785589115.069,14.3544,3.0995,-0.0352,1.8000,-0.0100,0.0502,-1,RACING,0,11.50,0.0278,2.462,1.800,99.000
1785589115.119,14.4469,3.0961,-0.0380,1.8000,-0.0081,0.0502,-1,RACING,0,11.50,0.1197,2.462,1.800,99.000
1785589115.169,14.5340,3.0928,-0.0380,1.8000,-0.0092,0.1156,-1,RACING,0,11.75,0.0442,2.468,1.800,99.000
1785589115.218,14.6221,3.0894,-0.0380,1.8000,-0.0106,0.1156,-1,RACING,0,11.75,0.0455,2.468,1.800,99.000
1785589115.269,14.7173,3.0858,-0.0409,1.8000,-0.0083,0.0727,-1,RACING,0,12.00,0.1105,2.463,1.800,99.000
1785589115.318,14.8050,3.0821,-0.0409,1.8000,-0.0094,0.0727,-1,RACING,0,12.00,0.0242,2.463,1.800,99.000
1785589115.369,14.8931,3.0784,-0.0409,1.8000,-0.0084,0.0219,-1,RACING,0,12.00,0.0666,2.463,1.800,99.000
1785589115.418,14.9828,3.0748,-0.0409,1.8000,-0.0096,0.0219,-1,RACING,0,12.25,0.0950,2.460,1.800,99.000
1785589115.469,15.0724,3.0711,-0.0409,1.8000,-0.0110,0.1177,-1,RACING,0,12.25,0.0123,2.460,1.800,99.000
1785589115.518,15.1628,3.0673,-0.0439,1.8000,-0.0081,0.1177,-1,RACING,0,12.25,0.0866,2.460,1.800,99.000
1785589115.568,15.2520,3.0633,-0.0439,1.8000,-0.0093,0.0616,-1,RACING,0,12.50,0.0760,2.458,1.800,99.000
1785589115.618,15.3406,3.0594,-0.0439,1.8000,-0.0106,0.0616,-1,RACING,0,12.50,0.0191,2.458,1.800,99.000
1785589115.669,15.4298,3.0553,-0.0468,1.8000,-0.0074,0.0737,-1,RACING,0,12.50,0.1039,2.458,1.800,99.000
1785589115.719,15.5343,3.0503,-0.0468,1.8000,-0.0074,0.0737,-1,RACING,0,12.75,0.0448,2.449,1.800,99.000
1785589115.769,15.6076,3.0469,-0.0468,1.8000,-0.0098,0.2311,-1,RACING,0,12.75,0.0344,2.449,1.800,99.000
1785589115.819,15.6977,3.0427,-0.0468,1.8000,-0.0078,0.2311,-1,RACING,0,12.75,0.1222,2.449,1.800,99.000
1785589115.869,15.7867,3.0385,-0.0468,1.8000,-0.0089,0.2371,-1,RACING,0,13.00,0.0428,2.449,1.800,99.000
1785589115.919,15.8744,3.0343,-0.0468,1.8000,-0.0102,0.2371,-1,RACING,0,13.00,0.0509,2.449,1.800,99.000
1785589115.969,15.9674,3.0299,-0.0496,1.8000,-0.0065,0.0215,-1,RACING,0,13.25,0.1102,2.442,1.800,99.000
1785589116.019,16.0582,3.0254,-0.0496,1.8000,-0.0075,0.0215,-1,RACING,0,13.25,0.0251,2.442,1.800,99.000
1785589116.069,16.1513,3.0209,-0.0496,1.8000,-0.0054,0.1209,-1,RACING,0,13.25,0.0774,2.442,1.800,99.000
1785589116.119,16.2436,3.0165,-0.0496,1.8000,-0.0062,0.1209,-1,RACING,0,13.50,0.0844,2.434,1.800,99.000
1785589116.169,16.3306,3.0121,-0.0496,1.8000,-0.0070,0.1275,-1,RACING,0,13.50,0.0194,2.434,1.800,99.000
1785589116.219,16.4234,3.0076,-0.0496,1.8000,-0.0047,0.1275,-1,RACING,0,13.50,0.0996,2.434,1.800,99.000
1785589116.268,16.5128,3.0031,-0.0496,1.8000,-0.0053,0.0264,-1,RACING,0,13.75,0.0657,2.434,1.800,99.000
1785589116.318,16.6018,2.9987,-0.0496,1.8000,-0.0061,0.0264,-1,RACING,0,13.75,0.0328,2.434,1.800,99.000
1785589116.369,16.6947,2.9942,-0.0496,1.8000,-0.0035,0.0498,-1,RACING,0,13.75,0.1211,2.434,1.800,99.000
1785589116.431,16.6947,2.9942,-0.0496,1.8000,-0.0035,0.0498,-1,RACING,0,13.75,0.1211,2.434,1.800,99.000
1785589116.470,16.6947,2.9942,-0.0496,1.8000,-0.0035,0.0498,-1,RACING,0,13.75,0.1211,2.434,1.800,99.000
1785589116.551,16.6947,2.9942,-0.0496,1.8000,-0.0035,0.0498,-1,RACING,0,13.75,0.1211,2.434,1.800,99.000
1785589116.587,16.6947,2.9942,-0.0496,1.8000,-0.0035,0.0498,-1,RACING,0,13.75,0.1211,2.434,1.800,99.000
1785589116.624,16.6947,2.9942,-0.0496,1.8000,-0.0035,0.0498,-1,RACING,0,13.75,0.1211,2.434,1.800,99.000
1785589116.676,16.6947,2.9942,-0.0496,1.8000,-0.0035,0.0498,-1,RACING,0,13.75,0.1211,2.434,1.800,99.000
1785589116.719,16.7910,2.9894,-0.0496,1.8000,-0.0040,0.0498,-1,RACING,0,14.00,0.0395,2.422,1.800,99.000
1785589116.769,17.3835,2.9601,-0.0496,1.8000,0.0030,0.0439,-1,RACING,0,14.50,0.0619,2.414,1.800,99.000
1785589116.864,17.4738,2.9556,-0.0496,1.8000,0.0035,0.0439,-1,RACING,0,14.75,0.1019,2.405,1.800,99.000
1785589116.886,17.4738,2.9556,-0.0496,1.8000,0.0035,0.0439,-1,RACING,0,14.75,0.1019,2.405,1.800,99.000
1785589116.919,17.6790,2.9454,-0.0496,1.8000,0.0035,0.0439,-1,RACING,0,14.75,0.1062,2.405,1.800,99.000
1785589116.968,17.7532,2.9419,-0.0496,1.8000,0.0073,0.1497,-1,RACING,0,15.00,0.0722,2.401,1.800,99.000
1785589117.019,17.8363,2.9378,-0.0496,1.8000,0.0083,0.1497,-1,RACING,0,15.00,0.0189,2.401,1.800,99.000
1785589117.068,17.9231,2.9333,-0.0496,1.8000,0.0104,0.0672,-1,RACING,0,15.00,0.1004,2.401,1.800,99.000
1785589117.118,18.0089,2.9290,-0.0468,1.8000,0.0104,0.0672,-1,RACING,0,15.25,0.0655,2.391,1.800,99.000
1785589117.168,18.1007,2.9249,-0.0439,1.8000,0.0104,0.1036,-1,RACING,0,15.25,0.0291,2.391,1.800,99.000
1785589117.218,18.1885,2.9211,-0.0411,1.8000,0.0110,0.1036,-1,RACING,0,15.25,0.1156,2.391,1.800,99.000
1785589117.268,18.2813,2.9175,-0.0381,1.8000,0.0110,0.1361,-1,RACING,0,15.50,0.0426,2.384,1.800,99.000
1785589117.319,18.3743,2.9142,-0.0351,1.8000,0.0114,0.1361,-1,RACING,0,15.50,0.0517,2.384,1.800,99.000
